path,emotion,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,lpc_0,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,lpc_12,formant_1,formant_2,formant_3
ravedess-emotional-speech-audio\Actor_01\03-01-01-01-01-01-01.wav,neutral,-694.2315,50.040554,0.55226654,14.545629,3.4447618,-2.4693272,-3.988867,-10.599405,-7.2048903,1.9541297,-4.2952814,2.2685385,-5.363429,202.8994,65.42124,23.770517,24.151522,15.810365,12.505351,13.320735,17.582804,12.072958,8.880486,11.051335,8.9133215,9.660705,0.54884493,0.6030794,0.53133404,0.49863344,0.52705157,0.5721853,0.5622753,0.628128,0.65716755,0.69171625,0.6511342,0.5984813,0.27200484,0.28363985,0.27228186,0.3088714,0.28951502,0.30675545,0.30174375,0.32031524,0.30153674,0.28933895,0.2837326,0.29944038,1.0,-1.6512843,1.2413559,-0.934637,0.67289615,-0.49729925,0.29786572,-0.06335943,0.04342833,-0.1328227,0.090642564,0.05610019,-0.023767952,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-01-01-01-02-01.wav,neutral,-683.9196,49.147438,-1.7723216,19.475555,1.9769547,-0.5590636,-4.7360053,-12.186052,-5.475023,2.4511197,-4.1994586,1.8152306,-5.2390347,199.06165,60.508026,19.593534,22.297804,16.608458,12.638513,14.173488,17.45291,11.296109,9.182322,11.224317,8.31151,10.303292,0.5546995,0.58132774,0.53836524,0.47252154,0.49861962,0.55617344,0.50814456,0.5541649,0.59172386,0.6633901,0.64235425,0.5876462,0.29566228,0.28384608,0.2899648,0.2906224,0.29500955,0.310623,0.299848,0.30485874,0.28328845,0.3097979,0.31828728,0.30010396,1.0,-1.6123261,1.1275837,-0.8649744,0.6340496,-0.5065846,0.4531481,-0.183616,0.043615166,-0.09267847,0.06519613,0.016558511,0.005992308,622.3740967763914,1153.9367638919323,2569.340414588686
ravedess-emotional-speech-audio\Actor_01\03-01-01-01-02-01-01.wav,neutral,-678.07904,51.52771,-0.03808664,14.368165,0.8338908,-0.18541205,-6.124986,-10.725261,-7.61419,1.4321214,-3.8672495,2.2190194,-5.85153,201.207,63.235023,24.72583,18.8624,18.244806,12.811366,15.88557,16.237926,13.102198,10.064395,9.5846405,10.023825,9.495421,0.6074874,0.57828623,0.5033126,0.55607414,0.54159963,0.52440804,0.5445101,0.585851,0.6660828,0.66100764,0.57143915,0.52891475,0.25157037,0.25010893,0.26341113,0.28650945,0.26630765,0.31065485,0.33126932,0.2830913,0.2822985,0.33812994,0.33561522,0.29657498,1.0,-1.237837,0.6538572,-0.9016034,0.7202029,-0.37371388,0.44712028,-0.28692603,0.29796532,-0.25110143,-0.03369837,0.03695838,0.06438167,1048.562006629405,2020.8965319039266,3173.8804529417753
ravedess-emotional-speech-audio\Actor_01\03-01-01-01-02-02-01.wav,neutral,-674.43964,50.828194,1.7249597,14.461126,3.074211,1.7510952,-7.5708923,-11.271994,-7.13256,2.0016143,-2.714117,0.93273896,-4.9728675,195.71054,59.287544,23.106594,20.831026,15.942346,10.829865,16.422758,14.929988,12.23529,8.691885,9.422829,7.379764,10.105684,0.60083157,0.50225717,0.47064415,0.5097824,0.5856866,0.59435517,0.55769616,0.6251583,0.6122945,0.57613873,0.59740996,0.5768865,0.25955468,0.2549481,0.2920321,0.2756227,0.29238388,0.29702696,0.26969433,0.25614953,0.28282377,0.28239268,0.3230323,0.2695313,1.0,-1.2498733,0.66631305,-0.80399305,0.56488806,-0.23332472,0.23926756,-0.11531292,0.17105582,-0.14770809,0.07279125,-0.12975971,0.10071751,577.6660311341896,1222.634442408464,2662.110611923234
ravedess-emotional-speech-audio\Actor_01\03-01-02-01-01-01-01.wav,calm,-709.8828,56.29944,2.662531,16.805483,3.5649443,-0.8747654,-5.644425,-8.770026,-8.923412,2.0694683,-4.683158,1.2033602,-5.316927,190.92273,62.334087,24.538628,22.737082,17.541668,12.026451,13.694639,13.115417,12.170815,11.251104,10.6762905,7.5815287,10.178454,0.45194784,0.48611698,0.53306705,0.49642974,0.49102747,0.5426964,0.5206839,0.53273284,0.5592231,0.6125054,0.65507364,0.5554416,0.29166004,0.2873946,0.28204793,0.29060572,0.29975337,0.318243,0.31008705,0.29373732,0.2970454,0.3227949,0.29811966,0.28923017,1.0,-1.3200061,0.57888967,-0.5434909,0.6995522,-0.5923201,0.30001783,-0.14335093,0.08712036,-0.07147306,0.107465036,-0.041754372,0.03337966,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-02-01-01-02-01.wav,calm,-695.86975,61.8713,-0.8042817,14.567588,4.7355795,-2.691877,-7.006919,-8.064504,-8.452818,2.1760664,-3.8065193,0.0072570313,-5.6784153,182.28798,67.21367,24.52693,21.163734,17.199862,10.320159,13.997748,12.371627,11.95653,9.513919,10.628763,6.811388,9.859221,0.52984285,0.5095065,0.53746265,0.61002535,0.5542924,0.57778525,0.6454015,0.6235722,0.62400496,0.6085042,0.60546273,0.4981766,0.30934447,0.29559928,0.3066087,0.29213536,0.30848482,0.31662276,0.3182769,0.2813247,0.3240796,0.33362812,0.32577625,0.27240142,1.0,-1.4717666,0.763582,-0.5434054,0.6183239,-0.58936167,0.34376538,-0.06967053,-0.02028109,-0.021866582,0.039944086,0.08994256,-0.059396766,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-02-01-02-01-01.wav,calm,-688.43396,58.45584,0.19532138,14.347579,2.147526,1.7945893,-6.217292,-8.795671,-8.008653,2.5240695,-2.255685,0.74965966,-5.339111,211.48712,68.23225,30.187466,20.981142,18.005697,12.257445,16.591194,14.339624,12.808268,12.134009,9.521381,7.0759583,11.107279,0.5082154,0.5175806,0.54557234,0.5641806,0.56890434,0.5551744,0.57406014,0.5931146,0.61074114,0.61783415,0.6125625,0.5067896,0.2966435,0.3072207,0.32139152,0.30000073,0.31064224,0.3106405,0.30634603,0.30734685,0.32113916,0.33397916,0.35819238,0.30512226,1.0,-1.0973221,0.4769661,-0.9487726,0.88987654,-0.34038153,0.35772938,-0.4507982,0.42032027,-0.16347915,0.008992277,-0.18863922,0.16416639,1945.709944349072,3651.0163800710625,4567.4930326260965
ravedess-emotional-speech-audio\Actor_01\03-01-02-01-02-02-01.wav,calm,-685.4515,62.541225,-0.82613903,16.144678,2.8918252,1.5114287,-6.2234745,-8.806564,-7.2023883,1.1583246,-2.2637897,1.3000516,-4.9428387,207.82841,66.83591,27.086445,18.865494,15.258295,10.3170595,16.121876,13.550526,12.304854,11.39034,9.051037,7.881742,10.598365,0.47347343,0.5091019,0.5131392,0.5002195,0.48174682,0.523694,0.5503228,0.5713136,0.61646193,0.6515623,0.6453946,0.55258405,0.2894772,0.31127858,0.3288964,0.29148236,0.2574928,0.3049997,0.34374467,0.32496127,0.31561244,0.29170617,0.32314387,0.3231022,1.0,-1.1775589,0.42108652,-0.6402842,0.54423726,-0.090106726,0.08216385,-0.13663737,0.22317983,-0.1058907,-0.038350213,-0.0830868,0.111027785,2831.086580479229,3939.2038069560645,4598.164961393539
ravedess-emotional-speech-audio\Actor_01\03-01-02-02-01-01-01.wav,calm,-718.6157,64.94728,1.9010295,16.33155,4.0042405,-1.5176964,-5.8456135,-5.3711743,-8.0974455,2.5307677,-1.2224076,-0.30089897,-5.0555024,199.04498,65.68937,23.285707,22.721254,18.191189,10.563464,14.198643,8.928371,12.334285,10.730526,8.912238,6.148152,8.454146,0.46738738,0.5208415,0.5375145,0.52431434,0.56376815,0.63319206,0.6892161,0.7026252,0.6129047,0.54439664,0.58542395,0.5362897,0.27745542,0.29617935,0.2836185,0.31079558,0.30008245,0.2843274,0.28442833,0.2542823,0.2942302,0.3206437,0.32016987,0.27362207,1.0,-1.3757942,0.6302773,-0.53959036,0.5707596,-0.34178993,0.08737795,-0.08211252,0.1703578,-0.097777024,0.0365242,-0.01483549,0.022835106,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-02-02-01-02-01.wav,calm,-678.8852,60.24432,-2.405253,13.981015,1.6262015,-2.210836,-8.577352,-8.015344,-8.345558,2.991699,-2.5126112,-1.5247273,-5.6491785,177.33447,67.189476,23.772438,19.299747,18.08736,10.907369,15.179479,11.391373,11.544548,11.7200575,10.265442,5.7240176,9.594495,0.5020955,0.52050066,0.47950292,0.55476385,0.55922645,0.5558574,0.59258586,0.63821876,0.6375267,0.58560437,0.5451785,0.4957893,0.273441,0.27621305,0.28077903,0.32563943,0.30934027,0.30030933,0.29346848,0.27934095,0.2873556,0.32873952,0.31366777,0.2698188,1.0,-0.99172974,0.11332963,-0.54855907,0.696489,-0.1825662,-0.074593,-0.055909224,0.16231991,-0.028649315,-0.056064773,-0.06997696,0.12907001,0.0,0.0,0.0
